incident,location,building,reported,occurred,comments,disposition,ucpdi#,start,end,in_jurisdiction,information,assist_other_agency,non_criminal,attempted,warrant,armed,aggravated,domestic,cpd_case_id,arrest,lat,lon
disturbance,university between 56th & 57th,NA,2010-07-03T02:05:00Z,7/3/10 2:05 AM,Loud noise and music at a residence / Peace restored,Closed,W0740,2010-07-03T02:05:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78996995,-87.59836015
injured person,5815 s. maryland,mitchell hosp.,2010-07-03T13:43:00Z,7/3/10 1:20 PM,"Woman walked out of main entrance, tripped over rug, fell injuring right knee / Refused medical attention",Closed,W0742,2010-07-03T13:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
theft,5530 s. ellis,ratner ac,2010-07-03T17:12:00Z,7/3/10 4:00 PM to 5:00 PM,"Unknown person took duffel bag, keys, and miscellaneous articles from a locked gym locker / Lock also taken",Open,W0743,2010-07-03T16:00:00Z,2010-07-03T17:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7940762,-87.6017077
disturbance,university between 56th & 57th,NA,2010-07-04T00:10:00Z,7/4/10 12:00 AM,Neighbors complained of people setting off fireworks / Peace restored,Closed,W0744,2010-07-04T00:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78996995,-87.59836015
fire,1118 e. 58th st.,eckhart hall,2010-07-04T02:05:00Z,7/4/10 2:00 AM,Small fire in trash can outside of Eckhart Hall / Extinguished / CFD responded,Closed,W0745,2010-07-04T02:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.790151,-87.598534
burglary,61st between ingleside & ellis,NA,2010-07-04T07:46:00Z,7/4/10 7:20 AM,Unknown male subject gained entry to residence via open window / Suspect fled when confronted by occupant,Open,W0746,2010-07-04T07:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7840933,-87.6019507
theft,midway pl. between cottage grove & drexel,NA,2010-07-05T12:12:00Z,7/5/10 7:00 AM to 11:45 AM,Unknown person smashed passenger's side vent window of car parked on the street and took a GPS device,Open,W0747,2010-07-05T07:00:00Z,2010-07-05T11:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7720958,-87.60497445
weapon violation,58th at university,NA,2010-07-05T19:12:00Z,7/5/10 7:08 PM,UCPD officers arrested a male for possession of an air pistol and theft of a bicycle,Arrest,W0748,2010-07-05T19:08:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7889722,-87.5992628
burglary,ingleside between 51st & 52nd,NA,2010-07-06T10:50:00Z,7/3/10 to 7/6/10 2:00 PM to 7:00 AM,"Unknown person(s) forced entry to vacant building being renovated and took new stoves, refrigerators and microwaves",Open,W0753,2010-07-03T14:00:00Z,2010-07-06T07:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.80126285,-87.6027089
theft,5801 s. ellis,quad,2010-07-06T13:13:00Z,7/6/10 11:15,Unknown person took unattended Echo gas hedge trimmer from the bed of a Facilities ATV,Open,W0751,2010-07-06T11:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7895805,-87.6009332
theft,5811 s. ellis,cobb hall,2010-07-06T13:16:00Z,7/6/10 12:35 PM to 12:55 PM,Unknown person took an unattended Mac Book Pro laptop computer from a study pod,Open,W0752,2010-07-06T12:35:00Z,2010-07-06T12:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7889661,-87.6009319
harassment,6054 s. drexel,uc office bldg,2010-07-06T16:09:00Z,7/6/10 7:40 AM to 1:00 PM,Staff member reports a person is constantly calling and harassing her via telephone at work,Open,W0754,2010-07-06T07:40:00Z,2010-07-06T13:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
indecent exposure,greenwood at 56th,NA,2010-07-06T21:11:00Z,7/6/10 21:11,Male performing an indecent act on the public way was observed and arrested by UCPD officers / Also charged with failing to register new address as a sex offender,Arrest,W0757,2010-07-06T21:11:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7932525,-87.5997692
theft,5640 s. university,bartlett commons,2010-07-06T21:36:00Z,7/2/10 to 7/6/10 4:00 PM to 6:15 PM,Bicycle chained to bike rack taken,Open,W0755,2010-07-02T16:00:00Z,2010-07-06T18:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7919788,-87.5983645
trespassing,5514 s. university,pierce hall,2010-07-06T21:50:00Z,7/6/10 21:50,Man ignored previous warnings arrested by UCPD for trespass,Arrest,W0756,2010-07-06T21:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.794451,-87.5986154
fire,6035 s. blackstone,chiller plant,2010-07-07T05:27:00Z,7/7/10 5:27 AM,Alarm malfunction / CFD responded,Closed,W0758,2010-07-07T05:27:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7837227,-87.590271
damage to vehicle,ingleside at 55th,NA,2010-07-07T12:23:00Z,7/7/10 8:00 AM to 12:00 PM,Unknown person smashed passenger's side rear window of a car parked on the street,Open,W0759,2010-07-07T08:00:00Z,2010-07-07T12:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7953337,-87.6026998
theft,1101 e. 57th st.,zoology,2010-07-07T13:22:00Z,7/7/10 11:00 AM to 12:45 PM,Unknown person entered an unlocked room and removed a MacBook computer from a cable lock,Open,W0760,2010-07-07T11:00:00Z,2010-07-07T12:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7919195,-87.6017311
theft,hyde park between 55th & 56th,NA,2010-07-07T18:17:00Z,7/4/10 to 7/7/10  11:00 PM to 6:00 PM,Unknown person smashed window of car parked on the street and took a 35 lb. bag of dog food,Open,W0761,2010-07-04T23:00:00Z,2010-07-07T18:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7943147,-87.5839217
trespassing,1126 e. 59th st.,social science,2010-07-08T14:27:00Z,7/8/10 2:27 PM,Man ignored previous warning and was arrested by UCPD for trespass,Arrest,W0762,2010-07-08T14:27:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7880092,-87.5987709
miscellaneous,6054 s. drexel,ucpd,2010-07-08T17:50:00Z,7/8/10 5:50 PM,Domestic situation involving custody of children,Closed,W0763,2010-07-08T17:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
fire,940 e. 57th st.,bio-psychological research,2010-07-09T08:45:00Z,7/9/10 8:30 AM,Alarm triggered by leaking water heater / No fire,Closed,W0764,2010-07-09T08:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7915946,-87.6022845
assault,54th between woodlawn & kimbark,NA,2010-07-09T13:09:00Z,7/9/10 1:05 PM,Male subject armed with a knife demanded and took money from a woman in a building vestibule and attempted to sexually assault her / Arrest by UCPD,Arrest,W0765,2010-07-09T13:05:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.797976,-87.59580245
burglary,54th between cottage grove and drexel,NA,2010-07-09T16:42:00Z,7/9/10 9:30 AM to 4:30 PM,Unknown person(s) gained entry to apartment and took 2 laptop computers and a Gameboy / No sign of forced entry,Open,W0766,2010-07-09T09:30:00Z,2010-07-09T16:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79680865,-87.6050671
fire,5630 s. university,max palevsky east,2010-07-09T18:13:00Z,7/9/10 6:13 PM,Smoke detector malfunction / CFD responded,Closed,W0767,2010-07-09T18:13:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7927938,-87.5984305
disturbance,university between 56th & 57th,NA,2010-07-10T04:55:00Z,7/10/10 4:55 AM,Complaint of people setting off fireworks / Peace restored,Closed,W0768,2010-07-10T04:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78996995,-87.59836015
hazardous material incident,920 e. 58th st.,cummings life science ctr.,2010-07-10T15:28:00Z,7/10/10 1:35 PM,Researcher accidently spilled chemical substance / Safety and CFD notified. CFD Haz. Mat. Team responded / Cleaned area.,Closed,W0769,2010-07-10T13:35:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789865,-87.6027639
fire,940 e. 57th st.,bio-psychological science,2010-07-11T00:07:00Z,7/11/2010  12:07 AM AM,Alarm malfunction / CFD responded,Closed,W0770,2010-07-11T00:07:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7915946,-87.6022845
activated alarm,5801 s. ellis,admin. building,2010-07-11T04:42:00Z,7/11/10 4:42 AM,Apparent alarm malfunction / Premise secure,Closed,W0771,2010-07-11T04:42:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7895805,-87.6009332
fire,62nd st. between drexel & ingleside,NA,2010-07-11T08:43:00Z,7/11/10 8:35 AM,ComEd transformer in the alley sparked and caught fire / CFD extinguished / ComEd on scene,Closed,W0772,2010-07-11T08:35:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78244435,-87.5977271
assault,53rd at ellis,NA,2010-07-11T14:21:00Z,7/11/10 2:10 PM,A male acquaintance visiting a female forced sexual intercourse against her will,Open,W0773,2010-07-11T14:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7993895,-87.6013134
burglary,58th between kimbark & kenwood,NA,2010-07-11T20:29:00Z,7/11/10 8:20 PM,Residents came home and found a male subject had broken into their apartment / Suspect fled before police arrived,Open,W0774,2010-07-11T20:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78963385,-87.5939875
disturbance,1100 e. 57th st.,regenstein library,2010-07-11T21:55:00Z,7/11/10 9:50 PM,Male subject created a disturbance when a staff member told him it was too late to check out a book,Closed,W0775,2010-07-11T21:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
theft,5721 s. maryland,comer hospital,2010-07-12T07:37:00Z,7/9/10 2:00 PM to 7/12/10 5:30 AM,Unknown person took17 files  from a file cabinet,Open,W0776,2010-07-09T14:00:00Z,2010-07-12T05:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7901847,-87.6045849
disturbance,university between 56th & 57th,NA,2010-07-13T00:35:00Z,7/13/10 12:35 AM,Neighbors complained of loud noisy party outside of a residence / Peace restored,Closed,W0777,2010-07-13T00:35:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78996995,-87.59836015
injured person,5514 s. university,pierce hall,2010-07-13T14:27:00Z,7/13/10 2:20 PM,Man climbing fence cut his wrist / Transported to ER by CFD EMS,Closed,W0778,2010-07-13T14:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.794451,-87.5986154
damage to property,kimbark at 53rd,NA,2010-07-13T16:57:00Z,7/13/10 12:00 PM to 3:00 PM,Unknown person scrawled graffiti on the side of a residential building,Open,W0779,2010-07-13T12:00:00Z,2010-07-13T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7994594,-87.5950183
NA,53rd at maryland,NA,2010-07-13T18:16:00Z,7/13/10 6:16 PM,UCPD officers arrested a man wanted on a warrant,Arrest,W0780,2010-07-13T18:16:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,41.7986154,-87.605121
irregular conditions,1059 e. 59th st.,classics,2010-07-14T06:54:00Z,7/14/10 6:54 AM,Alarm malfunction due to a power outage,Closed,W0781,2010-07-14T06:54:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.787735,-87.6012294
theft,6030 s. ellis,edelstone center,2010-07-14T10:43:00Z,7/13/10 2:00 PM to 4:00 PM,Unknown person entered unsecured office and took unattended wallet left on a desk,Open,W0782,2010-07-13T14:00:00Z,2010-07-13T16:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7848161,-87.6015965
fire,924 e. 57th st.,knapp center,2010-07-14T12:33:00Z,7/14/10 12:33 PM,Plastic accidently placed in a sterilizer oven caused smoke / CFD responded,Closed,W0783,2010-07-14T12:33:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
theft,5706 s. university,reynolds club,2010-07-14T18:23:00Z,7/13/10 to 7/14/10 6:30 PM to 10:00 AM,Three keys to the facility taken from an unattended key ring left in a mail box,Open,W0784,2010-07-13T18:30:00Z,2010-07-14T10:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911239,-87.59821
sick person,5845 s. ellis,gates-blake,2010-07-15T08:41:00Z,7/15/10 8:41 AM,Sick person transported to ER by CFD EMS / Treated and released,Closed,W0785,2010-07-15T08:41:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.788344,-87.6009032
theft,5550 s. university,crown field house,2010-07-15T12:51:00Z,7/15/10 9:45 AM to 12:45 PM,Bicycle chained to bike rack taken by unknown person,Open,W0786,2010-07-15T09:45:00Z,2010-07-15T12:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7935818,-87.5989697
theft,5815 s. maryland,mitchell hospital,2010-07-15T15:02:00Z,7/15/10 11:00 AM to 12:55 PM,Unknown person took wallet from a purse that was placed on the floor under the table while dining / Unauthorized use of credit card subsequently reported,Open,W0787,2010-07-15T11:00:00Z,2010-07-15T12:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
possession of cannabis,1212 e. 59th st.,ida noyes,2010-07-15T15:37:00Z,7/15/10 3:37 PM,UCPD officer questioning suspicious male in Ida Noyes discovered subject possessed marijuana / Arrest,Arrest,W0788,2010-07-15T15:37:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7880702,-87.5956216
stuck elevator,5455 s. blackstone,neighborhood res.,2010-07-15T20:12:00Z,7/15/10 8:10 PM,Woman freed from stuck elevator by CFD,Closed,W0789,2010-07-15T20:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7964345,-87.5899933
irregular condition,5640 s. university,bartlett commons,2010-07-16T00:42:00Z,7/16/10 12:42 AM,During a premise check UCPD officer found exterior door not properly secured / Premises checked and secured,Closed,W0790,2010-07-16T00:42:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7919788,-87.5983645
theft,6420 s. university,charter school,2010-07-16T09:10:00Z,6/18/10 3:40 PM,Former staff member refused to return a MacBook laptop computer when he was terminated,Open,W0791,2010-06-18T15:40:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7785315,-87.5980675
sick person,6054 s. drexel,ucpd,2010-07-16T11:54:00Z,7/16/10 11:54 AM,Staff member complained of chest pains / Transported to Mitchell ER by CFD EMS,Closed,W0792,2010-07-16T11:54:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
theft,cornell between 51st & 52nd,NA,2010-07-16T13:49:00Z,7/15/10 to 7/16/10 8:30 PM to 12:30 PM,Unknown person took bicycle chained to rear porch of residence,Open,W0793,2010-07-15T20:30:00Z,2010-07-16T12:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.780453,-87.5856185
theft,woodlawn at 54th,NA,2010-07-16T15:29:00Z,7/15/10 to 7/16/10 7:00 PM to 9:30 AM,Bicycle chained to city stop sign taken by unknown person,Open,W0794,2010-07-15T19:00:00Z,2010-07-16T09:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.797963,-87.5966091
robbery,ellis between 51st & 52nd,NA,2010-07-16T20:37:00Z,7/16/10 8:30 PM,Man walking on the street was attacked by five youths who punched him and took his property / 1 arrest / some property recovered,Arrest,W0795,2010-07-16T20:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.80161025,-87.6016092
disturbance,university between 56th & 57th,NA,2010-07-17T03:58:00Z,7/17/10 3:56 AM,Neighbors complained of loud music at a residence / Peace restored,Closed,W0796,2010-07-17T03:56:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78996995,-87.59836015
theft,cornell between 50th & 51st,NA,2010-07-17T12:54:00Z,7/17/10 11:00 AM to 11:30 AM,Unknown person took purse that was placed behind a chair that complainant occupied,Open,W0797,2010-07-17T11:00:00Z,2010-07-17T11:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8032407,-87.586575
theft,970 e. 58th st.,bookstore,2010-07-17T14:30:00Z,7/17/10 1:00 PM,Unknown person took coin purse containing credit card from an unattended handbag left at workstation,Open,W0798,2010-07-17T13:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7897352,-87.6015376
theft,5815 s. maryland,mitchell hospital,2010-07-17T16:23:00Z,7/16/10 to 7/17/10 7:00 PM to 3:00 PM,$400 taken from unattended purse left in patient's room,Open,W0799,2010-07-16T19:00:00Z,2010-07-17T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
theft,1118 e. 58th st.,eckhart hall,2010-07-18T06:55:00Z,7/16/10 to 7/17/10 7:30 PM to 9:30 PM,Unknown person took an Apple MacBook laptop computer from a room,Open,W0800,2010-07-16T19:30:00Z,2010-07-17T21:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.790151,-87.598534
theft,56th between woodlawn and kimbark,NA,2010-07-18T11:01:00Z,7/18/10 12:30 AM to 10:30 AM,Unknown person smashed driver's side window of car parked on the street and took a Sony digital camera and an i-Pod from the glove box,Open,W0801,2010-07-18T00:30:00Z,2010-07-18T10:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7932672,-87.5956874
trespassing,5800 s. stony island,doctors hospital,2010-07-18T12:42:00Z,7/18/10 12:42 PM,UCPD arrested a man for trespassing to the vacant and boarded former Doctors Hospital building,Arrest,W0802,2010-07-18T12:42:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.789619,-87.586578
lost property,5815 s. maryland,mitchell hospital,2010-07-18T19:19:00Z,7/18/10 2:00 PM to 7:00 PM,Patient's cell phone missing after she transferred rooms,Closed,W0803,2010-07-18T14:00:00Z,2010-07-18T19:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
burglary,greenwood between 48th & 49th,NA,2010-07-19T11:51:00Z,7/18/10 12:00 PM to 1:00 PM,"Unknown person(s) entered a residence via a rear window taking a lap top computer, marble chess set, and jewelry",Open,W0804,2010-07-18T12:00:00Z,2010-07-18T13:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8068755,-87.59922015
stalking,5841 s. maryland,mitchell hospital,2010-07-19T12:30:00Z,7/16/10 to 7/18/10 8:50 PM to 10:15 PM,Report of receipt of annoying email messages,Open,W0805,2010-07-16T20:50:00Z,2010-07-18T22:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7883128,-87.6045656
theft,57th between harper & lake park,NA,2010-07-19T15:54:00Z,7/18/10 to 7/19/10 12:30 AM to 9:30 AM,A Sony Playstation and an X-Box were taken from an apartment during the course of a party,Open,W0806,2010-07-18T00:30:00Z,2010-07-19T09:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79150975,-87.5886325
recovered motor vehicle,blackstone at 54th pl.,NA,2010-07-19T23:11:00Z,7/19/10 11:11 PM,"UCPD officer recovered stolen, unattended vehicle parked on the street / Turned over to CPD",Closed,W0807,2010-07-19T23:11:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7965613,-87.5903774
theft,1025 e. 58th st.,swift hall,2010-07-20T12:07:00Z,7/20/10 11:30 AM,"Unknown male entered coffee shop, ate two dinners and left without paying",Open,W0808,2010-07-20T11:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789113,-87.600152
irregular condition,1025 e. 58th st.,swift hall,2010-07-20T12:17:00Z,7/20/10 12:17 PM,Power outage reported / Power restored at 1:40 PM,Closed,W0809,2010-07-20T12:17:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.789113,-87.600152
theft,1101 e. 56th st.,max palevsky central,2010-07-20T15:12:00Z,7/12/10 to 7/20/10  8:00 AM to 3:00 PM,Bicycle chained to metal fence taken by unknown person,Open,W0810,2010-07-12T08:00:00Z,2010-07-20T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7929725,-87.5999278
